26 - lQRQ6Y4.jpg, 29884, 439.163, 11.64, 93.682
42 - ETrt9D7.jpg, 141567, 493.47400000000005, 0.54, 473.594
02 - nRHJ1FX.jpg, 36665, 434.828, 11.81, 113.259
09 - kOyBU6O.jpg, 28816, 425.815, 24.3, 80.969
46 - azbzpQM.jpg, 30917, 438.521, 9.41, 97.719
08 - 71eUUrO.jpg, 34431, 441.598, 15.31, 102.601
03 - oryoDEv.jpg, 33748, 440.101, 23.03, 96.414
14 - pyQVGqh.jpg, 92954, 461.263, 2.81, 311.567
43 - n30XfqH.jpg, 752886, 789.275, 0.12, 2523.007
52 - Sure3Aw.png, 3185272, 2016.21, -0.01, 12587.797
30 - Zp6N4Zs.png, 1899066, 1465.632, -0.02, 7287.34
16 - qeE5OB6.png, 1330268, 1206.931, -0.02, 5156.39
28 - k8BwbA4.jpg, 24241, 486.763, 33.59, 69.658
21 - IQNLUfc.jpg, 172549, 576.92, -0.12, 646.5340000000001
19 - GBIvr0H.png, 241412, 607.205, 0.11, 947.717
27 - kjnoTWw.jpg, 137981, 692.743, 0.58, 509.26099999999997
01 - PGbnD5e.jpg, 727465, 864.6239999999999, 0.2, 2729.756
49 - b0vHKQT.jpg, 54318, 497.51800000000003, 3.39, 203.11499999999998
18 - qdEG9Xo.jpg, 162319, 562.374, 0.37, 602.51
33 - TjgopGp.png, 426362, 720.964, 0.32, 1556.3149999999998
12 - cnt1m3p.jpg, 24608, 480.18899999999996, 20.75, 81.193
23 - YHE9Gp9.jpg, 61575, 527.3520000000001, 1.24, 230.93099999999998
37 - 3fBkdFw.jpg, 35672, 505.27200000000005, 19.79, 115.983
44 - Ix8zODC.jpg, 188531, 1688.0949999999998, -0.04, 2104.955
13 - 1LihVPU.jpg, 35469, 1428.027, 19.03, 347.813
17 - 9xzN8dK.jpg, 80724, 1493.9869999999999, 3.47, 900.445
11 - brEwA2c.jpg, 160367, 1640.403, 0.09, 1784.7269999999999
15 - W1nKKoW.jpg, 261482, 1787.8860000000002, -0.0, 2907.326
57 - osVsVEC.jpg, 90962, 1677.898, 2.64, 952.843
22 - GvDly2C.jpg, 73249, 1488.067, 0.81, 800.1279999999999
39 - 6hpC39Z.jpg, 180555, 1770.2359999999999, 0.19, 1946.975
38 - eL07hCF.jpg, 125394, 484.07800000000003, 4.32, 402.903
48 - Bl076uK.jpg, 490682, 669.991, 0.01, 1633.704
34 - HgRrGP6.jpg, 434751, 645.561, 0.15, 1511.5430000000001
07 - uHLxanq.png, 478546, 671.918, -0.07, 1596.0449999999998
36 - vjnxchJ.jpg, 383095, 613.312, 0.02, 1266.866
20 - aQtKdHg.jpg, 186416, 510.08, -0.17, 628.404
53 - H0SFTMb.jpg, 109759, 469.222, -0.23, 365.30600000000004
24 - 04onKgZ.jpg, 251179, 548.84, 0.06, 850.0889999999999
32 - i8eFUSm.png, 406308, 619.501, 0.07, 1343.3500000000001
56 - GYTVZ0Y.jpg, 76251, 459.14300000000003, 0.58, 252.777
25 - bK3kdUl.png, 210825, 539.578, 0.56, 691.195
50 - hF802zi.jpg, 83717, 470.90500000000003, -0.01, 281.375
04 - fSVotXT.png, 291771, 568.965, 0.01, 981.1800000000001
35 - rGdIVyC.jpg, 666216, 735.9839999999999, 0.16, 2281.1789999999996
10 - IY68Hp3.jpg, 32028, 496.918, 15.9, 106.31
41 - kPB2u1J.png, 2409448, 1741.355, -0.01, 9027.08
55 - tSVnxFG.jpg, 88665, 518.773, -0.17, 345.693
29 - InEGkhN.jpg, 30351, 488.226, 26.94, 90.936
31 - FxByEaf.jpg, 120047, 544.332, 0.03, 443.437
54 - Po8nG2s.jpg, 67653, 509.788, 0.76, 250.89499999999998
40 - ecqzZmC.png, 341146, 671.279, -0.08, 1266.78
05 - zYY8Qb0.jpg, 292119, 621.5500000000001, 1.27, 1092.406
51 - vHkLg0S.jpg, 207898, 713.3190000000001, 0.07, 758.273
45 - 6zTYcSi.png, 239889, 600.7379999999999, 0.41, 920.3489999999999
47 - QUWpC8m.jpg, 146165, 634.684, 0.49, 550.4219999999999
06 - LchEL8G.png, 589941, 787.77, -0.07, 2273.7599999999998
